git_commit,sequence_length,rows,input_family,dtype,scale,max_absolute_error,max_relative_error,max_row_sum_error,masked_positions_exactly_zero,contains_nan,contains_inf,shape_correct,dtype_correct,device_correct,pass_fail,rtol,atol,gpu_name,compute_capability,timestamp
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,random_x100,float32,0.125,3.5762786865234375e-07,4.5745522925244586e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.747353+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,random_x1000,float32,0.125,2.384185791015625e-07,3.113700302037614e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.750649+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,zeros,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.753870+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,equal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.757064+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.760360+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,dominant_negative,float32,0.125,2.9802322387695312e-08,3.112112665348832e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.763462+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,normal,float32,0.125,2.9802322387695312e-08,3.40454505476373e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.767820+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,random_x10,float32,0.125,5.960464477539063e-08,3.3940230537155003e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.772248+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,random_x100,float32,0.125,3.5762786865234375e-07,4.6973431722108216e-07,3.5762786865234375e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.776637+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,random_x1000,float32,0.125,2.384185791015625e-07,3.2326829568773974e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.781334+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,zeros,float32,0.125,0.0,0.0,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.786705+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,equal,float32,0.125,0.0,0.0,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.792358+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.797696+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,1023,2046,dominant_negative,float32,0.125,2.9802322387695312e-08,2.9928364142506325e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.803416+00:00
